Countries,2004M,2004F,2005M,2005F,2006M,2006F,2007M,2007F,2008M,2008F,2009M,2009F,2010M,2010F,2011M,2011F,2012M,2012F,2013M,2013F,2014M,2014F,Source 
Brunei Darussalam,77.8,56.9,78,57.6,77.5,59,78.2,59.7,78.8,60.6,79.5,61.5,80.1,62,77.3,59.9,80.5,63.2,,,72.4,58.3,ASEAN Secretariat
Cambodia,78.9,70.7,,,,,89.6,78.3,88.8,75.6,88.8,80.4,90,84.2,90.4,84.8,89.1,79.7,88.7,77.8,,,ASEAN Secretariat
Indonesia ,86,49.2,85.6,50.7,84.2,48,83.7,50.3,83.5,51.1,83.7,51,83.8,51.8,84.3,52.4,84.4,51.4,83.6,50.3,83.1,50.2,ASEAN Secretariat
Lao's PDR,,,,,,,,,,,,,79.3,76.2,,,,,,,,,ASEAN Secretariat
Malaysia ,80.9,47.2,80,45.9,79.9,45.8,79.5,46.4,79,45.7,78.9,46.4,79.3,46.8,79.7,47.9,80.5,49.5,80.7,52.4,,,ASEAN Secretariat
Myanmar,80.6,48.8,81.1,49.1,81.6,49.5,82,49.8,82.5,50.1,83,50.4,82.4,50,82.4,50,82.7,50.2,83.5,50.7,85.2,50.5,ASEAN Secretariat
Philippines,82.9,50.2,79.8,49.8,79.2,48.5,78.3,48.2,78.9,48.6,78.8,49.3,78.9,49.6,80.4,52.2,78.2,49.6,78.1,49.8,,,ASEAN Secretariat
Singapore,75.7,51.3,74.4,52,76.2,54.3,76.5,54.3,76.1,55.6,76.3,55.2,76.5,56.5,75.6,57,76,57.7,75.8,58.1,75.9,58.6,ASEAN Secretariat
Thailand,81.2,63.8,81.1,64.3,81.3,65.1,81.7,66,81.5,65.8,81.9,65.6,81.2,65.3,81.1,65.9,81.2,65.3,80.5,63.3,,,ASEAN Secretariat
Viet Nam,,,,,,,78.8,70.9,80.1,71.3,81,72.3,82,73,81.7,72.6,81.2,72.5,82.1,73.2,82.5,73.3,ASEAN Secretariat
