Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,,90.4,93.6,97.6,97.6,,,,,,,,,,,,,,96.6,97.4,97.2,97,95.1,95,
Cambodia,,,,,,,,75.9,78.2,81.1,86.7,,,95.5,,,97.5,,96.6,,97.9,,97,,
Indonesia,95.9,95,94,93,93.4,93.1,92.7,92.6,,,,96.8,96.5,95.8,95.1,93.7,95.2,97.2,97.1,97.4,98.7,99,95.9,,
Lao People's Democratic Republic,,,53.9,58.3,61.8,,64.5,67.1,70.2,71,71.6,71,71.9,74.2,75.1,76.3,77.6,80.2,83.3,87.1,92.9,94.4,94.9,96.5,
Malaysia,,,,,96.3,,,,95.5,94.6,97.8,96.6,94.8,95,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,97.5,,,,,,,,90.3,89.4,,90.7,91.7,91.8,91.4,90.7,89,88.8,89,89.5,,,,91.1,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,93.1,93.3,93.6,94.9,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,
